0.000_1L:þ
Offsets:257,262,259,-43,-14,-59
P:roll,pitch,yaw;gyrox,gyroy,gyroz;accelx,accely,accelz;magx,magy,magz
10.851_1L:-44.90,-30.81,56.48_77,96,117_-67,-136,96_505,-636,7
10.880_1L:-46.62,-29.96,55.41_27,69,103_10,-87,35_505,-636,7
10.897_1L:-47.98,-30.67,55.22_-4,39,81_249,-55,30_505,-636,7
10.914_1L:-49.44,-34.75,55.38_11,16,67_554,5,12_505,-636,7
10.931_1L:-50.53,-34.04,55.06_49,-14,72_554,-20,46_505,-636,7
10.959_1L:-51.54,-33.09,54.99_50,-33,63_524,-58,-6_505,-636,7
10.977_1L:-53.09,-32.37,56.66_-20,-68,40_398,-144,-42_595,-586,-86
10.995_1L:-55.74,-31.17,59.94_-74,-130,44_554,-144,-53_595,-586,-86
11.023_1L:-56.49,-30.01,61.13_-8,-84,4_554,-232,104_595,-586,-86
11.040_1L:-53.93,-28.58,59.43_112,-22,-99_554,-230,254_595,-586,-86
11.059_1L:-49.94,-27.12,56.55_153,19,-141_430,-227,196_595,-586,-86
11.090_1L:-46.31,-27.47,55.26_39,53,-168_136,-293,158_595,-586,-86
11.104_1L:-44.73,-28.51,56.71_-76,-4,-129_95,-317,101_484,-658,-23
11.123_1L:-46.99,-29.21,60.42_-127,-58,-11_202,-184,-11_484,-658,-23
11.150_1L:-53.19,-31.89,65.16_-121,-64,80_238,-223,-35_484,-658,-23
11.168_1L:-57.32,-33.27,67.72_-73,-27,86_245,-264,-35_484,-658,-23
11.186_1L:-58.65,-34.02,68.15_-20,16,38_197,-259,-32_484,-658,-23
11.202_1L:-59.82,-35.06,68.60_3,36,-16_162,-234,-24_484,-658,-23
11.231_1L:-61.92,-35.80,69.81_6,22,-27_187,-152,-22_459,-665,-91
11.250_1L:-64.83,-37.56,71.59_15,-8,3_232,-155,-6_459,-665,-91
11.266_1L:-66.72,-38.90,72.44_25,-16,24_273,-191,15_459,-665,-91
11.294_1L:-67.48,-39.62,72.33_29,6,26_301,-210,33_459,-665,-91
11.312_1L:-67.68,-40.03,71.83_24,25,29_309,-226,43_459,-665,-91
11.330_1L:-68.07,-40.38,71.37_21,23,38_388,-234,41_459,-665,-91
11.347_1L:-68.22,-41.00,70.69_25,41,35_441,-266,58_491,-639,-97
11.376_1L:-66.88,-42.41,69.37_34,81,-14_477,-246,64_491,-639,-97
11.393_1L:-64.79,-43.84,68.11_31,93,-58_462,-190,63_491,-639,-97
11.408_1L:-62.95,-45.40,67.44_4,86,-62_440,-78,23_491,-639,-97
11.439_1L:-62.96,-47.03,67.60_-29,79,4_477,66,-71_491,-639,-97
11.457_1L:-64.26,-48.83,67.54_-24,86,80_554,120,-74_491,-639,-97
11.474_1L:-64.89,-49.99,67.42_-8,60,49_554,3,-34_627,-523,-73
11.502_1L:-64.28,-49.89,67.75_1,-11,-43_527,9,-33_627,-523,-73
11.519_1L:-62.86,-49.07,68.38_8,-52,-102_482,63,-51_627,-523,-73
11.535_1L:-61.64,-48.28,69.64_-11,-59,-111_336,22,11_627,-523,-73
11.552_1L:-61.04,-49.07,71.49_-36,-71,-104_69,-82,172_627,-523,-73
11.583_1L:-55.53,-45.28,71.32_29,-157,-219_-117,-127,302_627,-523,-73
11.601_1L:-50.33,-39.19,71.60_133,-246,-257_-462,41,378_629,-513,-66
11.633_1L:-46.77,-35.90,73.60_48,-180,-230_-469,26,481_629,-513,-66
11.646_1L:-47.01,-35.03,77.80_-105,-171,-127_-469,-456,300_629,-513,-66
11.662_1L:-53.39,-32.79,83.12_-109,-245,167_27,-434,-26_629,-513,-66
11.694_1L:-57.32,-32.46,83.85_-25,-49,178_20,-400,-28_629,-513,-66
11.708_1L:-53.06,-33.43,81.07_60,98,-157_29,-441,114_629,-513,-66
11.725_1L:-48.26,-33.88,78.28_75,87,-190_-68,-50,143_351,-684,28
11.742_1L:-46.91,-32.88,77.46_21,22,-11_-30,-16,204_351,-684,28
11.771_1L:-46.42,-31.73,76.37_-12,18,107_-33,-205,206_351,-684,28
11.789_1L:-48.73,-29.34,76.24_3,22,134_-95,-250,217_351,-684,28
11.806_1L:-51.31,-28.45,75.63_27,39,161_-191,-313,266_351,-684,28
11.834_1L:-54.12,-28.91,74.52_45,55,180_-285,-351,315_351,-684,28
11.851_1L:-56.68,-29.59,73.08_56,74,185_-331,-333,316_470,-643,25
11.870_1L:-58.93,-30.95,70.57_53,100,162_-272,-325,255_470,-643,25
11.898_1L:-60.20,-32.45,68.52_42,112,124_-154,-253,181_470,-643,25
11.916_1L:-60.75,-32.37,66.27_51,103,94_10,-204,117_470,-643,25
11.933_1L:-60.68,-30.67,64.82_44,64,36_178,-163,99_470,-643,25
11.950_1L:-59.97,-31.97,64.26_22,13,-17_362,-92,65_470,-643,25
11.978_1L:-61.05,-31.15,65.61_-26,-71,19_387,80,-60_599,-601,-93
11.997_1L:-64.04,-29.82,67.20_-32,-93,95_554,-54,-53_599,-601,-93
12.014_1L:-65.78,-29.51,68.56_-56,-50,49_518,-102,-57_599,-601,-93
12.042_1L:-66.74,-29.84,70.20_-85,-22,-2_501,-135,-87_599,-601,-93
12.059_1L:-67.35,-29.80,71.12_-45,-26,-3_554,-187,-68_599,-601,-93
12.076_1L:-66.61,-29.17,70.33_39,-25,-30_554,-243,14_599,-601,-93
12.092_1L:-64.46,-28.41,68.58_80,-11,-79_451,-263,45_453,-650,-196
12.124_1L:-62.21,-27.73,67.94_48,-19,-97_273,-279,43_453,-650,-196
12.142_1L:-61.16,-27.17,68.49_0,-39,-68_232,-269,33_453,-650,-196
12.158_1L:-61.54,-27.15,69.54_-23,-35,-20_253,-236,15_453,-650,-196
12.187_1L:-62.72,-28.19,70.66_-38,-1,9_208,-231,-10_453,-650,-196
12.204_1L:-64.74,-29.87,71.93_-34,20,12_198,-218,-17_453,-650,-196
12.222_1L:-66.77,-31.76,73.11_-20,29,-2_187,-191,-21_428,-687,-99
12.251_1L:-68.96,-33.77,74.42_-2,23,-11_204,-187,-13_428,-687,-99
12.268_1L:-70.56,-35.26,75.20_15,7,-4_222,-162,-16_428,-687,-99
12.286_1L:-72.31,-36.92,75.83_20,-1,19_244,-181,-11_428,-687,-99
