0.000_1L:12.50,18.15,µ
Offsets:257,263,259,-31,0,-59
P:roll,pitch,yaw;gyrox,gyroy,gyroz;accelx,accely,accelz;magx,magy,magz
11.499_1L:-72.53,-80.30,28.45_-81,131,-143_542,90,-52_724,-283,-235
11.526_1L:-78.76,-82.02,35.91_-74,70,-53_463,269,-181_724,-283,-235
11.540_1L:-90.91,-82.55,46.34_-67,14,101_542,77,-154_724,-283,-235
11.556_1L:-98.59,-82.68,52.08_-32,4,113_542,-207,-105_724,-283,-235
11.586_1L:-98.56,-83.22,52.50_9,22,-19_375,-343,-122_724,-283,-235
11.601_1L:-92.78,-83.86,48.43_36,26,-91_253,-285,-144_649,-79,-433
11.618_1L:-86.03,-84.89,41.95_37,43,-9_224,-251,-149_649,-79,-433
11.648_1L:-79.40,-86.33,33.51_37,86,101_212,-298,-109_649,-79,-433
11.665_1L:-41.01,-88.02,-6.76_51,117,99_175,-349,-73_649,-79,-433
11.681_1L:25.55,-87.31,-73.46_58,128,7_89,-269,-42_649,-79,-433
11.698_1L:-23.01,-87.36,-24.66_46,113,-20_22,-38,-28_649,-79,-433
11.728_1L:25.35,-87.36,-73.33_4,113,16_24,210,-4_676,94,-370
11.745_1L:75.26,-82.74,-123.50_-19,116,17_261,511,-26_676,94,-370
11.762_1L:80.02,-80.98,-128.36_-10,97,9_256,511,-49_676,94,-370
11.778_1L:81.67,-80.45,-129.94_-3,24,2_306,450,-49_676,94,-370
11.809_1L:80.95,-81.13,-129.22_6,-43,8_273,266,-64_676,94,-370
11.827_1L:78.71,-82.37,-127.52_7,-71,35_231,19,-94_676,94,-370
11.845_1L:96.78,-83.34,-145.88_2,-39,30_240,-168,-80_619,286,-361
11.874_1L:116.13,-85.63,-164.94_6,1,-5_262,-168,-68_619,286,-361
11.891_1L:135.99,-86.45,175.59_5,16,-15_294,-40,-47_619,286,-361
11.906_1L:146.51,-86.36,164.99_5,7,10_309,90,-36_619,286,-361
11.922_1L:139.35,-85.52,172.02_-3,3,10_293,132,-24_619,286,-361
11.954_1L:131.87,-84.39,179.68_-8,5,-7_292,137,-31_619,286,-361
11.972_1L:128.09,-83.35,-176.29_-5,-6,-9_298,116,-52_630,273,-355
12.001_1L:127.75,-82.87,-176.25_7,-29,13_299,55,-70_630,273,-355
12.018_1L:130.48,-82.82,-179.40_18,-32,23_269,-5,-57_630,273,-355
12.034_1L:136.92,-82.81,174.46_10,-4,-13_249,-7,-55_630,273,-355
12.051_1L:143.55,-82.36,168.53_1,12,-30_271,48,-66_630,273,-355
12.081_1L:142.66,-81.44,169.70_5,8,-12_281,69,-61_630,273,-355
12.098_1L:140.54,-80.65,171.99_7,1,-6_272,64,-52_630,263,-357
12.114_1L:139.34,-80.01,173.46_6,-7,-14_271,80,-49_630,263,-357
12.145_1L:137.42,-79.39,175.74_8,-10,-20_283,81,-54_630,263,-357
12.162_1L:136.45,-78.91,177.22_9,-9,-29_289,61,-53_630,263,-357
12.180_1L:136.66,-78.69,177.58_10,-11,-30_288,52,-61_630,263,-357
12.197_1L:137.69,-78.59,176.93_12,-16,-21_286,39,-60_630,263,-357
